iter	Passed	Remaining
0	6	3151
1	12	3066
2	18	3007
3	24	3083
4	29	2942
5	36	2988
6	41	2951
7	46	2888
8	51	2817
9	56	2768
10	60	2670
11	64	2621
12	68	2570
13	72	2528
14	77	2496
15	81	2462
16	85	2432
17	89	2401
18	94	2387
19	98	2354
20	102	2328
21	106	2314
22	110	2289
23	114	2275
24	118	2260
25	123	2243
26	127	2227
27	130	2203
28	134	2186
29	138	2172
30	142	2155
31	146	2138
32	149	2118
33	154	2111
34	158	2100
35	161	2087
36	166	2079
37	170	2069
38	174	2059
39	178	2051
40	182	2044
41	186	2033
42	190	2022
43	193	2009
44	197	1996
45	201	1988
46	205	1977
47	208	1964
48	212	1955
49	216	1946
50	220	1944
51	224	1933
52	228	1925
53	232	1916
54	235	1907
55	239	1899
56	243	1890
57	246	1879
58	250	1872
59	253	1862
60	257	1853
61	260	1843
62	264	1835
63	268	1827
64	271	1819
65	275	1811
66	279	1803
67	282	1796
68	286	1788
69	290	1782
70	293	1774
71	297	1768
72	300	1760
73	304	1751
74	307	1744
75	311	1737
76	315	1730
77	318	1723
78	322	1716
79	325	1709
80	329	1702
81	332	1694
82	336	1688
83	339	1679
84	342	1672
85	346	1666
86	349	1660
87	353	1653
88	356	1646
89	359	1639
90	363	1633
91	366	1627
92	370	1621
93	374	1615
94	377	1609
95	380	1603
96	384	1597
97	388	1592
98	391	1586
99	395	1580
100	398	1575
101	402	1568
102	405	1562
103	409	1557
104	412	1551
105	415	1545
106	420	1542
107	423	1537
108	427	1533
109	430	1527
110	434	1522
111	437	1517
112	441	1512
113	445	1506
114	448	1501
115	451	1495
116	455	1490
117	458	1485
118	462	1480
119	465	1475
120	469	1470
121	472	1465
122	476	1460
123	480	1455
124	483	1451
125	487	1446
126	490	1441
127	494	1436
128	497	1431
129	501	1426
130	504	1421
131	508	1417
132	511	1412
133	515	1407
134	518	1402
135	522	1398
136	526	1394
137	529	1390
138	533	1385
139	537	1380
140	540	1376
141	544	1372
142	547	1366
143	551	1362
144	554	1357
145	558	1353
146	561	1348
147	564	1343
148	568	1339
149	572	1335
150	575	1330
151	579	1326
152	582	1321
153	586	1317
154	590	1313
155	593	1309
156	597	1304
157	600	1299
158	604	1295
159	607	1291
160	611	1287
161	615	1283
162	618	1279
163	622	1274
164	625	1270
165	629	1265
166	632	1261
167	636	1257
168	639	1252
169	642	1248
170	646	1243
171	650	1240
172	653	1235
173	657	1231
174	660	1227
175	664	1222
176	667	1218
177	671	1214
178	675	1210
179	678	1206
180	682	1202
181	686	1198
182	689	1194
183	692	1189
184	696	1185
185	699	1181
186	703	1177
187	707	1173
188	710	1168
189	713	1164
190	717	1161
191	721	1157
192	724	1152
193	728	1148
194	731	1143
195	735	1140
196	738	1135
197	741	1131
198	745	1127
199	749	1123
200	752	1120
201	756	1116
202	760	1112
203	763	1108
204	767	1104
205	771	1100
206	774	1096
207	778	1092
208	782	1089
209	785	1085
210	789	1081
211	792	1077
212	796	1073
213	800	1069
214	803	1065
215	807	1061
216	810	1057
217	814	1053
218	818	1049
219	821	1045
220	825	1041
221	828	1038
222	832	1034
223	835	1030
224	839	1025
225	842	1021
226	846	1017
227	850	1014
228	853	1010
229	857	1006
230	860	1002
231	864	998
232	867	994
233	871	990
234	875	986
235	878	983
236	882	979
237	885	975
238	889	971
239	892	967
240	896	963
241	899	959
242	903	955
243	906	951
244	910	947
245	913	943
246	917	939
247	920	935
248	924	931
249	927	927
250	931	924
251	935	920
252	938	916
253	942	912
254	945	908
255	949	904
256	952	900
257	956	896
258	959	893
259	963	889
260	967	885
