iter	MultiClass
0	1.303645328
1	1.216023569
2	1.143809917
3	1.069922638
4	1.016331495
5	0.9631955584
6	0.9141765366
7	0.8703988737
8	0.8258273547
9	0.7964009418
10	0.7687605039
11	0.7389959305
12	0.7165684306
13	0.6893770199
14	0.6631141211
15	0.6369549254
16	0.6175449899
17	0.6007511932
18	0.5805329482
19	0.5614796171
20	0.5458225688
21	0.5277617493
22	0.5154997021
23	0.5003370864
24	0.4916011106
25	0.4839896871
26	0.471337426
27	0.4606409687
28	0.4540515693
29	0.4438477758
30	0.4348046238
31	0.4277288067
32	0.4166701787
33	0.4107022053
34	0.4014926487
35	0.3933288373
36	0.3876355461
37	0.3802053768
38	0.3755096831
39	0.3658402735
40	0.3583668337
41	0.3514124598
42	0.3464612408
43	0.3400302077
44	0.3334564295
45	0.3264172111
46	0.3229601716
47	0.3198243529
48	0.3135368977
49	0.3087658569
50	0.3039897117
51	0.2987806349
52	0.2959937399
53	0.2917708345
54	0.2885031708
55	0.2831872455
56	0.2797472995
57	0.2768184595
58	0.2723551513
59	0.2699344816
60	0.2670747531
61	0.2623442888
62	0.2596248508
63	0.2565170151
64	0.2542104291
65	0.2508111693
66	0.2468125935
67	0.2450871889
68	0.2415449864
69	0.2386606953
70	0.2366834631
71	0.2338434022
72	0.231646508
73	0.2299890432
74	0.227204441
75	0.2236715634
76	0.221375709
77	0.2177138946
78	0.2148379619
79	0.2121615054
80	0.2102241237
81	0.2080430852
82	0.2053609731
83	0.2026698955
84	0.2005598359
85	0.1990905444
86	0.1973244852
87	0.1949092679
88	0.1937685179
89	0.1911636443
90	0.1888515397
91	0.187088857
92	0.1849032457
93	0.1831514302
94	0.1816230682
95	0.1801010424
96	0.1783810477
97	0.1760284864
98	0.1738443703
99	0.1722596779
100	0.1704134133
101	0.1680025649
102	0.1663004298
103	0.1645060919
104	0.1626202244
105	0.1608319181
106	0.1597576018
107	0.158173998
108	0.156795983
109	0.1556907024
110	0.1540704732
111	0.1521536403
112	0.1505037662
113	0.1495320063
114	0.148745701
115	0.1474758211
116	0.1463950816
117	0.1450317021
118	0.1441135206
119	0.142331068
120	0.140716317
121	0.1395880734
122	0.1382910758
123	0.1374593502
124	0.1362270809
125	0.1348940464
126	0.1342948026
127	0.1332524241
128	0.1321407879
129	0.1311414944
130	0.1300276839
131	0.1291960051
132	0.1280275326
133	0.1274060977
134	0.126469069
135	0.1258208775
136	0.1241512349
137	0.1233230225
138	0.1225992801
139	0.122026459
140	0.1209591598
141	0.1198761116
142	0.1186709374
143	0.1180540462
144	0.1169430496
145	0.1161965792
146	0.1154167913
147	0.1145168422
148	0.1140725343
149	0.1131783012
150	0.1123827257
151	0.111388067
152	0.1107026594
153	0.1099615842
154	0.1090358963
155	0.108478176
156	0.1077887352
157	0.1069458135
158	0.106251221
159	0.1057407651
160	0.1049842708
161	0.104481019
162	0.1039841591
163	0.1031669181
164	0.1026680208
165	0.1019743105
166	0.1014015613
167	0.1008866041
168	0.1004769989
169	0.09982238003
170	0.09908438251
171	0.09848006465
172	0.09799318435
173	0.09719320978
174	0.09668284612
175	0.0960831795
176	0.09558694656
177	0.09460000227
178	0.09419964639
179	0.09353394548
180	0.09283142197
181	0.092208655
182	0.09174681117
183	0.09157439005
184	0.09114359713
185	0.09062923078
186	0.09013197024
187	0.089501805
188	0.08892240229
189	0.08830227028
190	0.08798992462
191	0.0876890965
192	0.08717168264
193	0.08668293069
194	0.08615122271
195	0.08572489947
196	0.08530146281
197	0.08508757621
198	0.08447233896
199	0.08388242742
200	0.0832909805
201	0.08268529759
202	0.08197380708
203	0.08150974282
204	0.08102117967
205	0.08074359482
206	0.08008542449
207	0.07953337322
208	0.07900700569
209	0.07854815841
210	0.07811188671
211	0.07771151335
212	0.07727235744
213	0.07671091984
214	0.07648116878
215	0.07587313492
216	0.0755951052
217	0.07521906788
218	0.07499708916
219	0.07476590443
220	0.07448900974
221	0.07410130066
222	0.07342750337
223	0.07292669778
224	0.07258993945
225	0.07223644577
226	0.07193651032
227	0.07150060022
228	0.07112252713
229	0.07070062133
230	0.07043197667
231	0.0701024625
232	0.06979965595
233	0.06922660377
234	0.06881530419
235	0.06829242363
236	0.06807323277
237	0.06784959135
238	0.06740897395
239	0.06706069972
240	0.06659055987
241	0.06621643898
242	0.06575070453
243	0.06536902539
244	0.06505543504
245	0.06472026689
246	0.06441453719
247	0.06403226402
248	0.06384249523
249	0.06338560183
250	0.06294086239
251	0.06263822737
252	0.06241803792
253	0.06227153096
254	0.06190758616
255	0.06172077785
256	0.06133653436
257	0.0610643287
258	0.06076777259
259	0.06042440409
260	0.06025935296
261	0.06009183849
262	0.05973321193
263	0.05959704849
264	0.05928899673
265	0.05908332275
266	0.05875253585
267	0.05843133448
268	0.05825280733
269	0.05799651949
270	0.05780363862
271	0.05748194535
272	0.05718787209
273	0.05684763092
274	0.05662595771
275	0.0564165259
276	0.05633788372
277	0.05623534836
278	0.05602184523
279	0.05572786629
280	0.05543187957
281	0.05519076948
282	0.05475180635
283	0.05448655841
284	0.05431387561
285	0.05407757247
286	0.05398900178
287	0.05385689394
288	0.05369370604
289	0.0534926873
290	0.05324294737
