iter	Passed	Remaining
0	37	18608
1	56	14155
2	73	12121
3	90	11228
4	103	10218
5	116	9611
6	130	9156
7	142	8766
8	155	8507
9	166	8173
10	177	7903
11	188	7675
12	262	9819
13	303	10520
14	325	10513
15	346	10481
16	362	10301
17	376	10083
18	392	9942
19	406	9752
20	421	9608
21	528	11487
22	580	12039
23	604	11994
24	628	11947
25	646	11777
26	659	11547
27	672	11335
28	765	12438
29	795	12466
30	816	12348
31	832	12181
32	847	11994
33	861	11808
34	874	11613
35	886	11421
36	898	11249
37	910	11066
38	921	10892
39	932	10728
40	946	10595
41	1067	11642
42	1089	11576
43	1103	11431
44	1117	11302
45	1133	11185
46	1148	11065
47	1163	10954
48	1175	10822
49	1273	11460
50	1316	11590
51	1336	11517
52	1355	11436
53	1371	11327
54	1383	11191
55	1396	11071
56	1407	10938
57	1419	10816
58	1449	10832
59	1541	11305
60	1569	11298
61	1587	11211
62	1600	11105
63	1613	10993
64	1628	10901
65	1642	10800
66	1656	10705
67	1751	11128
68	1799	11242
69	1819	11178
70	1839	11115
71	1860	11058
72	1887	11037
73	1897	10925
74	1937	10981
75	2017	11253
76	2040	11210
77	2059	11144
78	2080	11085
79	2093	10992
80	2106	10896
81	2151	10968
82	2236	11234
83	2273	11257
84	2290	11181
85	2303	11087
86	2314	10988
87	2331	10913
88	2342	10817
89	2353	10720
90	2444	10988
91	2495	11065
92	2512	10995
93	2527	10915
94	2541	10835
95	2555	10753
96	2572	10686
97	2584	10601
98	2600	10535
99	2707	10828
100	2732	10792
101	2750	10732
102	2765	10658
103	2780	10586
104	2793	10508
105	2809	10442
106	2910	10690
107	2929	10633
108	2947	10571
109	2962	10503
110	2980	10445
111	2995	10378
112	3008	10303
113	3026	10249
114	3112	10420
115	3136	10382
116	3151	10316
117	3172	10269
118	3185	10198
119	3200	10134
120	3212	10063
121	3226	9997
122	3260	9992
123	3340	10128
124	3371	10115
125	3401	10097
126	3418	10040
127	3432	9975
128	3449	9921
129	3462	9854
130	3568	10051
131	3597	10029
132	3615	9975
133	3637	9935
134	3655	9884
135	3670	9823
136	3687	9769
137	3698	9702
138	3709	9634
139	3782	9725
140	3823	9735
141	3846	9697
142	3865	9651
143	3881	9595
144	3896	9539
145	3912	9486
146	3929	9436
147	3941	9375
148	4103	9667
149	4128	9634
150	4145	9580
151	4160	9524
152	4172	9462
153	4185	9404
154	4268	9500
155	4296	9475
156	4319	9435
157	4334	9383
158	4351	9331
159	4366	9278
160	4380	9222
161	4393	9165
162	4407	9111
163	4522	9266
164	4551	9240
165	4570	9195
166	4586	9145
167	4598	9088
168	4611	9031
169	4624	8976
170	4717	9075
171	4743	9045
172	4767	9011
173	4784	8964
174	4802	8919
175	4817	8869
176	4832	8818
177	4846	8767
178	4857	8711
179	4910	8730
180	4990	8794
181	5010	8754
182	5028	8709
183	5045	8665
184	5060	8615
185	5073	8564
186	5086	8513
187	5101	8465
188	5210	8573
189	5236	8543
190	5259	8508
191	5279	8469
192	5293	8420
193	5310	8377
194	5325	8329
195	5336	8276
196	5364	8250
197	5443	8302
198	5463	8263
199	5483	8225
200	5501	8183
201	5514	8135
202	5528	8087
203	5541	8040
204	5554	7993
205	5640	8050
206	5687	8051
207	5713	8020
208	5732	7982
209	5745	7934
210	5759	7888
211	5773	7843
212	5791	7804
213	5897	7881
214	5924	7853
215	5946	7818
216	5969	7785
217	5986	7743
218	5999	7697
219	6011	7651
220	6024	7605
221	6046	7571
222	6120	7603
223	6169	7601
224	6193	7569
225	6215	7535
226	6231	7494
227	6246	7451
228	6258	7405
229	6270	7360
230	6321	7361
231	6377	7366
232	6412	7348
233	6433	7313
234	6449	7272
235	6464	7231
236	6481	7192
237	6492	7147
238	6505	7104
239	6519	7062
240	6595	7088
241	6627	7065
242	6654	7038
243	6680	7009
244	6701	6975
245	6716	6934
246	6729	6892
247	6741	6849
248	6753	6807
249	6821	6821
250	6866	6812
251	6890	6781
252	6910	6746
253	6925	6707
254	6940	6668
255	6956	6630
256	6969	6589
257	7028	6592
258	7103	6609
259	7118	6571
260	7135	6534
261	7148	6493
262	7161	6453
263	7175	6414
264	7188	6374
265	7309	6430
266	7330	6397
267	7347	6360
268	7361	6321
269	7377	6284
270	7390	6245
271	7404	6206
272	7414	6165
273	7426	6125
274	7542	6171
275	7587	6157
276	7608	6125
277	7624	6088
278	7641	6053
279	7660	6018
280	7852	6119
281	8101	6262
282	8134	6237
283	8150	6199
284	8336	6288
285	8420	6300
286	8483	6296
287	8504	6260
288	8521	6221
289	8536	6181
290	8551	6141
291	8570	6104
292	8715	6157
293	8731	6118
294	8746	6078
295	8759	6036
296	8776	5998
297	8790	5958
298	8807	5920
299	8976	5984
300	9005	5953
301	9033	5922
302	9185	5972
303	9231	5952
304	9263	5922
305	9286	5887
306	9522	5986
307	9567	5964
308	9587	5926
309	9613	5892
310	9629	5852
311	9646	5812
312	9672	5778
313	9706	5749
314	9740	5720
315	9899	5764
316	9930	5732
317	9949	5694
318	9967	5655
319	9983	5615
320	10133	5650
321	10151	5611
322	10171	5573
323	10198	5539
324	10216	5501
325	10348	5523
326	10374	5488
327	10391	5449
328	10413	5412
329	10427	5371
330	10439	5330
331	10537	5332
332	10563	5297
333	10579	5258
334	10594	5218
335	10605	5176
336	10725	5187
337	10765	5160
338	10784	5121
339	10800	5082
340	10816	5043
341	10830	5003
342	10843	4963
343	10856	4923
344	10997	4941
345	11016	4903
346	11030	4863
347	11043	4823
348	11059	4784
349	11127	4768
350	11186	4748
351	11207	4712
352	11224	4674
353	11239	4635
354	11249	4595
355	11262	4555
356	11396	4564
357	11466	4548
358	11482	4509
359	11498	4471
360	11511	4432
361	11523	4393
362	11534	4353
363	11651	4353
364	11680	4320
365	11700	4283
366	11717	4246
367	11731	4208
368	11745	4169
369	11759	4131
370	11770	4092
371	11779	4053
372	11876	4043
373	11913	4013
374	11934	3978
375	11950	3941
376	11965	3903
377	11981	3867
378	12002	3831
379	12126	3829
380	12152	3795
381	12174	3760
382	12190	3724
383	12206	3687
384	12218	3649
385	12233	3612
386	12352	3606
387	12372	3571
388	12395	3536
389	12414	3501
390	12428	3464
391	12442	3428
392	12593	3428
393	12610	3392
394	12626	3356
395	12639	3319
396	12654	3283
397	12804	3281
398	12830	3247
399	12847	3211
400	12861	3175
401	12874	3138
402	12886	3101
403	12997	3088
404	13032	3056
405	13062	3024
406	13081	2989
407	13095	2952
408	13110	2917
409	13125	2881
410	13255	2870
411	13281	2836
412	13302	2802
413	13317	2766
414	13330	2730
415	13340	2693
416	13389	2664
417	13501	2648
418	13521	2613
419	13539	2579
420	13555	2543
421	13569	2508
422	13581	2472
423	13702	2456
424	13759	2428
425	13779	2393
426	13794	2358
427	13806	2322
428	13818	2286
429	13836	2252
430	13863	2219
431	14000	2203
432	14025	2170
433	14051	2136
434	14068	2102
435	14084	2067
436	14142	2038
437	14225	2013
438	14250	1980
439	14265	1945
440	14276	1909
441	14391	1888
442	14413	1854
443	14434	1820
444	14451	1786
445	14464	1751
446	14475	1716
447	14488	1681
448	14540	1651
449	14572	1619
450	14593	1585
451	14611	1551
452	14625	1517
453	14640	1483
454	14654	1449
455	14670	1415
456	14797	1392
457	14821	1359
458	14840	1325
459	14858	1292
460	14871	1258
461	14884	1224
462	15012	1199
463	15034	1166
464	15054	1133
465	15071	1099
466	15086	1066
467	15099	1032
468	15111	998
469	15123	965
470	15134	931
471	15261	905
472	15284	872
473	15302	839
474	15318	806
475	15334	773
476	15348	740
477	15362	707
478	15484	678
479	15533	647
480	15553	614
481	15567	581
482	15580	548
483	15591	515
484	15604	482
485	15640	450
486	15731	419
487	15750	387
488	15766	354
489	15779	322
490	15792	289
491	15817	257
492	15829	224
493	15840	192
494	15851	160
495	15976	128
496	15997	96
497	16015	64
498	16032	32
499	16047	0
