iter	Passed	Remaining
0	9	4567
1	18	4527
2	25	4297
3	34	4248
4	40	4056
5	48	4024
6	55	3873
7	62	3822
8	68	3758
9	74	3670
10	80	3588
11	86	3524
12	92	3454
13	98	3409
14	103	3354
15	109	3302
16	114	3263
17	120	3220
18	125	3184
19	131	3155
20	137	3128
21	142	3106
22	148	3087
23	154	3061
24	159	3030
25	164	3004
26	169	2973
27	175	2953
28	180	2934
29	185	2910
30	190	2884
31	195	2857
32	200	2830
33	204	2809
34	209	2784
35	214	2764
36	219	2751
37	224	2732
38	229	2718
39	234	2696
40	239	2681
41	244	2660
42	248	2640
43	253	2622
44	257	2604
45	262	2586
46	266	2568
47	270	2550
48	275	2534
49	279	2519
50	285	2511
51	289	2497
52	294	2484
53	299	2472
54	303	2458
55	308	2445
56	312	2432
57	317	2418
58	321	2405
59	326	2392
60	330	2379
61	334	2365
62	339	2354
63	343	2342
64	348	2332
65	352	2321
66	357	2310
67	362	2300
68	366	2290
69	371	2279
70	375	2270
71	380	2260
72	384	2249
73	389	2239
74	393	2230
75	398	2220
76	402	2210
77	407	2203
78	411	2194
79	416	2186
80	420	2175
81	424	2165
82	429	2156
83	433	2146
84	438	2139
85	442	2130
86	446	2121
87	451	2114
88	456	2106
89	460	2099
90	465	2093
91	470	2086
92	475	2079
93	479	2072
94	484	2064
95	488	2056
96	493	2049
97	497	2040
98	501	2033
99	506	2025
100	510	2018
101	515	2010
102	519	2003
103	524	1995
104	528	1987
105	532	1979
106	536	1971
107	540	1963
108	545	1955
109	549	1948
110	553	1941
111	558	1934
112	562	1928
113	567	1921
114	571	1914
115	576	1908
116	580	1901
117	585	1893
118	589	1887
119	593	1880
120	598	1874
121	602	1867
122	607	1861
123	611	1854
124	615	1847
125	620	1841
126	624	1834
127	629	1828
128	633	1821
129	638	1815
130	642	1809
131	647	1804
132	651	1797
133	655	1791
134	660	1784
135	664	1778
136	669	1773
137	673	1767
138	677	1760
139	682	1755
140	686	1749
141	691	1743
142	695	1736
143	699	1730
144	704	1724
145	708	1718
146	713	1712
147	717	1706
148	721	1700
149	726	1694
150	730	1688
151	735	1683
152	739	1677
153	744	1671
154	748	1666
155	753	1660
156	757	1655
157	762	1649
158	766	1644
159	770	1637
160	775	1632
161	779	1627
162	783	1620
163	788	1615
164	792	1609
165	797	1604
166	801	1598
167	806	1593
168	810	1587
169	814	1581
170	819	1576
171	824	1571
172	828	1566
173	832	1560
174	837	1554
175	841	1549
176	846	1543
177	850	1538
178	854	1533
179	859	1527
180	863	1522
181	868	1516
182	872	1511
183	876	1505
184	881	1501
185	886	1495
186	890	1490
187	894	1484
188	899	1479
189	903	1474
190	908	1469
191	912	1463
192	916	1458
193	921	1453
194	925	1447
195	930	1442
196	934	1437
197	938	1432
198	943	1426
199	947	1421
200	952	1416
201	956	1411
202	961	1406
203	965	1400
204	969	1395
205	973	1389
206	978	1384
207	983	1380
208	987	1374
209	991	1369
210	996	1364
211	1000	1359
212	1004	1353
213	1009	1348
214	1013	1343
215	1018	1338
216	1022	1333
217	1026	1328
218	1031	1323
219	1035	1318
220	1039	1312
221	1044	1307
222	1048	1302
223	1053	1297
224	1057	1292
225	1062	1287
226	1066	1282
227	1070	1277
228	1075	1272
229	1079	1267
230	1083	1262
231	1088	1257
232	1092	1252
233	1097	1247
234	1101	1242
235	1105	1237
236	1110	1231
237	1114	1226
238	1119	1222
239	1123	1217
240	1127	1212
241	1132	1207
242	1136	1201
243	1140	1196
244	1145	1191
245	1149	1186
246	1153	1181
247	1158	1176
248	1162	1172
249	1167	1167
250	1171	1162
251	1175	1157
252	1179	1151
253	1184	1147
254	1188	1142
255	1193	1137
256	1197	1132
257	1202	1127
258	1206	1122
259	1211	1118
260	1215	1113
261	1220	1108
262	1224	1103
263	1229	1098
264	1233	1093
265	1237	1089
266	1242	1084
267	1246	1079
268	1250	1074
269	1255	1069
270	1259	1064
271	1264	1059
272	1268	1054
273	1273	1050
274	1277	1045
275	1281	1040
276	1286	1035
277	1290	1030
278	1294	1025
279	1298	1020
280	1303	1015
281	1307	1011
282	1312	1006
283	1318	1002
284	1323	998
285	1327	993
286	1332	988
287	1336	984
288	1340	978
289	1345	974
290	1349	969
291	1353	964
292	1358	959
293	1363	955
294	1368	950
295	1372	946
296	1377	941
297	1381	936
298	1385	931
299	1390	926
300	1394	921
301	1398	917
302	1403	912
303	1407	907
304	1411	902
305	1416	897
306	1420	893
307	1425	888
308	1430	883
309	1434	878
310	1438	874
311	1443	869
312	1447	865
313	1452	860
314	1457	855
315	1463	851
316	1467	847
317	1473	843
318	1477	838
319	1482	833
320	1487	829
321	1494	825
322	1499	821
323	1504	817
324	1510	813
325	1517	809
326	1521	805
327	1526	800
328	1531	796
329	1537	792
330	1542	787
331	1547	782
332	1551	778
333	1556	773
334	1560	768
335	1564	763
336	1569	758
337	1573	753
338	1577	749
339	1581	744
340	1586	739
341	1591	735
342	1595	730
343	1600	725
344	1604	720
345	1609	716
346	1613	711
347	1617	706
348	1622	701
349	1626	697
350	1631	692
351	1635	687
352	1640	682
353	1644	678
354	1648	673
355	1653	668
356	1657	663
357	1661	659
358	1666	654
359	1670	649
360	1674	644
361	1678	640
362	1683	635
363	1687	630
364	1691	625
365	1696	620
366	1700	616
367	1704	611
368	1709	606
369	1713	602
370	1718	597
371	1722	592
372	1726	587
373	1731	583
374	1735	578
375	1740	573
376	1744	569
377	1749	564
378	1753	559
379	1758	555
380	1762	550
381	1766	545
382	1771	541
383	1775	536
384	1779	531
385	1784	526
386	1788	522
387	1792	517
388	1796	512
389	1801	508
390	1805	503
391	1809	498
392	1814	493
393	1818	489
394	1822	484
395	1827	479
396	1831	475
397	1835	470
398	1840	465
399	1844	461
400	1849	456
401	1853	451
402	1857	447
403	1862	442
404	1866	437
405	1870	433
406	1875	428
407	1879	423
408	1883	419
409	1888	414
410	1892	409
411	1896	405
412	1901	400
413	1905	395
414	1909	391
415	1913	386
416	1918	381
417	1922	377
418	1927	372
419	1931	367
420	1935	363
421	1940	358
422	1944	353
423	1948	349
424	1953	344
425	1957	340
426	1961	335
427	1966	330
428	1970	326
429	1974	321
430	1979	316
431	1983	312
432	1987	307
433	1992	302
434	1996	298
435	2000	293
436	2005	289
437	2009	284
438	2013	279
439	2018	275
440	2022	270
441	2026	265
442	2030	261
443	2035	256
444	2039	252
445	2043	247
446	2048	242
447	2052	238
448	2057	233
449	2061	229
450	2065	224
451	2069	219
452	2074	215
453	2078	210
454	2082	206
455	2087	201
456	2091	196
457	2095	192
458	2099	187
459	2104	182
460	2108	178
461	2112	173
462	2116	169
463	2121	164
464	2125	159
465	2129	155
466	2134	150
467	2138	146
468	2142	141
469	2146	137
470	2151	132
471	2155	127
472	2159	123
473	2164	118
474	2169	114
475	2173	109
476	2177	105
477	2182	100
478	2186	95
479	2190	91
480	2194	86
481	2199	82
482	2203	77
483	2207	72
484	2212	68
485	2216	63
486	2220	59
487	2225	54
488	2229	50
489	2234	45
490	2238	41
491	2242	36
492	2247	31
493	2251	27
494	2256	22
495	2260	18
496	2264	13
497	2268	9
498	2273	4
499	2277	0
